match_id,match_no,stage,group,date,team_a_id,team_b_id,status,winner_advances_to,loser_advances_to,source_url
2026-06-20_NED_SWE,34,group,F,2026-06-20,NED,SWE,completed,,,https://www.foxsports.com/soccer/fifa-world-cup-men-netherlands-vs-sweden-jun-20-2026-game-boxscore-647648
2026-06-20_ECU_CUW,35,group,E,2026-06-20,ECU,CUW,scheduled,,,manual_user_provided_2026-06-19
2026-06-20_TUN_JPN,36,group,F,2026-06-20,TUN,JPN,scheduled,,,manual_user_provided_2026-06-19
2026-06-21_ESP_KSA,37,group,H,2026-06-21,ESP,KSA,scheduled,,,manual_user_provided_2026-06-19
2026-06-21_BEL_IRI,38,group,G,2026-06-21,BEL,IRI,scheduled,,,manual_user_provided_2026-06-19
2026-06-21_URU_CPV,39,group,H,2026-06-21,URU,CPV,scheduled,,,manual_user_provided_2026-06-19
2026-06-21_NZL_EGY,40,group,G,2026-06-21,NZL,EGY,scheduled,,,manual_user_provided_2026-06-19
2026-06-22_ARG_AUT,41,group,J,2026-06-22,ARG,AUT,scheduled,,,manual_user_provided_2026-06-19
2026-06-22_FRA_IRQ,42,group,I,2026-06-22,FRA,IRQ,scheduled,,,manual_user_provided_2026-06-19
2026-06-22_NOR_SEN,43,group,I,2026-06-22,NOR,SEN,scheduled,,,manual_user_provided_2026-06-19
2026-06-22_JOR_DZA,44,group,J,2026-06-22,JOR,DZA,scheduled,,,manual_user_provided_2026-06-19
2026-06-23_POR_UZB,45,group,K,2026-06-23,POR,UZB,scheduled,,,manual_user_provided_2026-06-19
2026-06-23_ENG_GHA,46,group,L,2026-06-23,ENG,GHA,scheduled,,,manual_user_provided_2026-06-19
2026-06-23_PAN_CRO,47,group,L,2026-06-23,PAN,CRO,scheduled,,,manual_user_provided_2026-06-19
2026-06-23_COL_COD,48,group,K,2026-06-23,COL,COD,scheduled,,,manual_user_provided_2026-06-19
2026-06-24_BIH_QAT,49,group,B,2026-06-24,BIH,QAT,scheduled,,,manual_user_provided_2026-06-19
2026-06-24_SUI_CAN,50,group,B,2026-06-24,SUI,CAN,scheduled,,,manual_user_provided_2026-06-19
2026-06-24_MAR_HTI,51,group,C,2026-06-24,MAR,HTI,scheduled,,,manual_user_provided_2026-06-19
2026-06-24_SCO_BRA,52,group,C,2026-06-24,SCO,BRA,scheduled,,,manual_user_provided_2026-06-19
2026-06-24_CZE_MEX,53,group,A,2026-06-24,CZE,MEX,scheduled,,,manual_user_provided_2026-06-19
2026-06-24_RSA_KOR,54,group,A,2026-06-24,RSA,KOR,scheduled,,,manual_user_provided_2026-06-19
2026-06-25_CUW_CIV,55,group,E,2026-06-25,CUW,CIV,scheduled,,,manual_user_provided_2026-06-19
2026-06-25_ECU_GER,56,group,E,2026-06-25,ECU,GER,scheduled,,,manual_user_provided_2026-06-19
2026-06-25_JPN_SWE,57,group,F,2026-06-25,JPN,SWE,scheduled,,,manual_user_provided_2026-06-19
2026-06-25_TUN_NED,58,group,F,2026-06-25,TUN,NED,scheduled,,,manual_user_provided_2026-06-19
2026-06-25_PAR_AUS,59,group,D,2026-06-25,PAR,AUS,scheduled,,,manual_user_provided_2026-06-19
2026-06-25_TUR_USA,60,group,D,2026-06-25,TUR,USA,scheduled,,,manual_user_provided_2026-06-19
2026-06-26_NOR_FRA,61,group,I,2026-06-26,NOR,FRA,scheduled,,,manual_user_provided_2026-06-19
2026-06-26_SEN_IRQ,62,group,I,2026-06-26,SEN,IRQ,scheduled,,,manual_user_provided_2026-06-19
2026-06-26_CPV_KSA,63,group,H,2026-06-26,CPV,KSA,scheduled,,,manual_user_provided_2026-06-19
2026-06-26_URU_ESP,64,group,H,2026-06-26,URU,ESP,scheduled,,,manual_user_provided_2026-06-19
2026-06-26_EGY_IRI,65,group,G,2026-06-26,EGY,IRI,scheduled,,,manual_user_provided_2026-06-19
2026-06-26_NZL_BEL,66,group,G,2026-06-26,NZL,BEL,scheduled,,,manual_user_provided_2026-06-19
2026-06-27_CRO_GHA,67,group,L,2026-06-27,CRO,GHA,scheduled,,,manual_user_provided_2026-06-19
2026-06-27_PAN_ENG,68,group,L,2026-06-27,PAN,ENG,scheduled,,,manual_user_provided_2026-06-19
2026-06-27_COL_POR,69,group,K,2026-06-27,COL,POR,scheduled,,,manual_user_provided_2026-06-19
2026-06-27_COD_UZB,70,group,K,2026-06-27,COD,UZB,scheduled,,,manual_user_provided_2026-06-19
2026-06-27_DZA_AUT,71,group,J,2026-06-27,DZA,AUT,scheduled,,,manual_user_provided_2026-06-19
2026-06-27_JOR_ARG,72,group,J,2026-06-27,JOR,ARG,scheduled,,,manual_user_provided_2026-06-19
