ingested_at,match_id,label
2026-06-21T01:42:46.909337+00:00,2026-06-19_BRA_HTI,Brasil 3-0 Haití
2026-06-21T01:42:46.910796+00:00,2026-06-19_SCO_MAR,Escocia 0-1 Marruecos
2026-06-21T01:42:46.910796+00:00,2026-06-19_TUR_PAR,Turquía 0-1 Paraguay
2026-06-21T01:42:46.910796+00:00,2026-06-19_USA_AUS,Estados Unidos 2-0 Australia
2026-06-21T01:42:46.910796+00:00,2026-06-20_GER_CIV,Alemania 2-1 Costa de Marfil
2026-06-21T01:42:46.910796+00:00,2026-06-20_NED_SWE,Países Bajos 5-1 Suecia
