team_id,team_name,group,matches_history,weighted_goals_for_pg,weighted_goals_against_pg,weighted_total_goals_pg,recent_form_points_pg,win_rate,draw_rate,loss_rate,attack_index,defense_index,current_tournament_goals_for_pg,current_tournament_goals_against_pg,current_tournament_xg_for_pg,current_tournament_xg_against_pg,current_tournament_xg_diff_pg,data_quality_score,updated_at
MAR,Marruecos,C,20,1.9987,0.4813,2.48,2.4,0.7,0.3,0.0,1.0206,0.443,1.75,1.0,1.2825,0.5625,0.72,1.0,2026-06-30T16:46:46.951708+00:00
MEX,México,A,20,1.5065,0.5308,2.0373,2.0,0.55,0.35,0.1,0.8957,0.4723,2.0,0.0,1.2067,0.4633,0.7433,1.0,2026-06-30T16:46:46.953708+00:00
NED,Países Bajos,F,20,2.3126,1.0391,3.3517,1.8,0.45,0.45,0.1,1.1336,0.5678,2.75,1.25,1.3425,0.76,0.5825,1.0,2026-06-30T16:46:46.955708+00:00
NOR,Noruega,I,20,3.1665,0.8752,4.0417,2.4,0.75,0.15,0.1,1.3456,0.7647,2.6667,2.3333,1.8433,1.1267,0.7167,1.0,2026-06-30T16:46:46.957708+00:00
NZL,Nueva Zelanda,G,20,1.9091,1.4232,3.3324,1.35,0.4,0.15,0.45,0.7494,1.3745,1.3333,3.3333,0.93,2.18,-1.25,1.0,2026-06-30T16:46:46.959708+00:00
PAN,Panamá,L,20,1.669,1.1815,2.8505,1.85,0.5,0.35,0.15,0.6505,0.8548,0.0,1.3333,0.5333,1.1333,-0.6,1.0,2026-06-30T16:46:46.961708+00:00
PAR,Paraguay,D,20,1.2875,1.2654,2.5529,1.65,0.45,0.3,0.25,0.5403,1.0011,0.75,1.25,0.485,1.5625,-1.0775,1.0,2026-06-30T16:46:46.963708+00:00
POR,Portugal,K,20,2.2501,0.9882,3.2382,2.1,0.6,0.3,0.1,1.114,0.5642,2.0,0.3333,1.0633,0.78,0.2833,1.0,2026-06-30T16:46:46.965708+00:00
QAT,Catar,B,20,0.8344,1.4973,2.3317,0.8,0.15,0.35,0.5,0.4535,1.4422,0.6667,3.3333,0.4733,2.5567,-2.0833,1.0,2026-06-30T16:46:46.968709+00:00
RSA,Sudáfrica,A,20,1.2727,0.9791,2.2518,1.7,0.45,0.35,0.2,0.581,0.8403,0.5,1.0,0.675,1.115,-0.44,1.0,2026-06-30T16:46:46.970708+00:00
SCO,Escocia,C,20,1.7365,0.9489,2.6855,1.75,0.55,0.1,0.35,0.8168,0.9772,0.3333,1.3333,1.0,1.65,-0.65,1.0,2026-06-30T16:46:46.972708+00:00
SEN,Senegal,I,20,2.1237,1.0277,3.1514,2.0,0.6,0.2,0.2,1.0957,0.8472,2.6667,2.0,1.5367,1.36,0.1767,1.0,2026-06-30T16:46:46.974708+00:00
SUI,Suiza,B,20,2.0116,1.1242,3.1358,1.6,0.4,0.4,0.2,1.2734,0.6597,2.3333,1.0,2.0667,0.7967,1.27,1.0,2026-06-30T16:46:46.976711+00:00
SWE,Suecia,F,20,2.3178,1.5602,3.878,1.7,0.5,0.2,0.3,0.9896,0.8854,2.3333,2.3333,1.1467,1.1767,-0.03,1.0,2026-06-30T16:46:46.978708+00:00
TUN,Túnez,F,20,1.6026,1.5114,3.114,1.65,0.45,0.3,0.25,0.5755,1.0823,0.6667,4.0,0.3633,1.63,-1.2667,1.0,2026-06-30T16:46:46.980708+00:00
TUR,Turquía,D,20,1.9763,1.2125,3.1888,2.2,0.7,0.1,0.2,1.179,0.7719,1.0,1.6667,1.8867,1.0167,0.87,1.0,2026-06-30T16:46:46.982708+00:00
URU,Uruguay,H,20,0.8409,0.83,1.6709,1.3,0.25,0.55,0.2,0.9669,0.5416,1.0,1.3333,1.4233,0.7433,0.68,1.0,2026-06-30T16:46:46.984708+00:00
USA,Estados Unidos,D,20,2.0302,1.602,3.6323,1.6,0.5,0.1,0.4,1.0119,0.7634,2.6667,1.3333,1.2667,0.8633,0.4033,1.0,2026-06-30T16:46:46.986708+00:00
UZB,Uzbekistán,K,20,1.2104,1.1687,2.3791,1.55,0.4,0.35,0.25,0.5187,1.0551,0.6667,3.6667,0.4633,1.5733,-1.11,1.0,2026-06-30T16:46:46.988708+00:00
